MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
4201,T15MC0035H,31/03/2015,LE REGAL,Active,340 GEYLANG ROAD SINGAPORE 389365,"340 GEYLANG ROAD
#01-49 LE REGAL
 SINGAPORE 389365",69255937,Avatar Asset Management Pte Ltd,96791550
4203,T15MC0114D,07/10/2015,ARDMORE THREE,Active,3 ARDMORE PARK SINGAPORE 259950,"3 ARDMORE PARK
#B1-01 ARDMORE THREE
 SINGAPORE 259950",6262 3383,Knight Frank Property Asset Management Pte Ltd,68485678
4204,T15MC0016E,04/02/2015,THE LANAI,Active,142 HILLVIEW AVENUE SINGAPORE 669629,"140 HILLVIEW AVENUE
#01-01  THE LANAI
 SINGAPORE 669600",6762 3178,Rhodo Property & Estate Management Services Pte Ltd,65333375
4205,T15MC0003A,06/01/2015,BUCKLEY CLASSIQUE,Active,11 BUCKLEY ROAD SINGAPORE 309767,"11 BUCKLEY ROAD
#B1-01 BUCKLEY CLASSIQUE
 SINGAPORE 309767",6259 0217,Jones Lang LaSalle Property Consultants Pte Ltd,62203888
4206,T15MC0013F,28/01/2015,Primz BizHub,Active,21 WOODLANDS CLOSE SINGAPORE 737854,"21 WOODLANDS CLOSE
#01-18 PRIMZ BIZHUB
 SINGAPORE 737854",6369 9687,Phamous Facilities Management Pte Ltd,96472350
4207,T15MC0018H,09/02/2015,CENTENNIA SUITES,Active,100 KIM SENG ROAD SINGAPORE 239427,"100 KIM SENG ROAD
#02-01 CENTENNIA SUITES
 SINGAPORE 239427",6844-9931,A & L Property Services,62659138
4208,T15MC0028B,26/02/2015,FLAMINGO VALLEY,Active,460 SIGLAP ROAD SINGAPORE 455939,"474 SIGLAP ROAD
#01-44 FLAMINGO VALLEY
 SINGAPORE 454945",64467686,Ocean IFM Pte Ltd,64467686
4209,T15MC0099L,07/09/2015,RIVERPARC RESIDENCE,Active,90  PUNGGOL DRIVE SINGAPORE 828794,"104 PUNGGOL DRIVE
#01-29 RIVERPARC RESIDENCE
 SINGAPORE 828801",6489 3294,Savills Property Management Pte Ltd,6489 3294
4210,T15MC0023L,12/02/2015,RIVIERA 38,Active,38 MAR THOMA ROAD SINGAPORE 328712,"38 MAR THOMA ROAD
#05-01 RIVIERA 38
 SINGAPORE 328712",62930431,Focus Strata Management Pte Ltd,64436039
4211,T15MC0037L,08/04/2015,BLOSSOM RESIDENCES,Active,30 SEGAR ROAD SINGAPORE 677721,"36 SEGAR ROAD
#B1-37 BLOSSOM RESIDENCES
 SINGAPORE 677724",67104303,Smart Property Management (Singapore) Pte Ltd,62230169
